MSN,state,Year,data
CLRCB,AK,1960,714
CLRCB,AK,1961,713
CLRCB,AK,1962,854
CLRCB,AK,1963,543
CLRCB,AK,1964,423
CLRCB,AK,1965,371
CLRCB,AK,1966,468
CLRCB,AK,1967,427
CLRCB,AK,1968,344
CLRCB,AK,1969,333
CLRCB,AK,1970,233
CLRCB,AK,1971,177
CLRCB,AK,1972,199
CLRCB,AK,1973,92
CLRCB,AK,1974,92
CLRCB,AK,1975,88
CLRCB,AK,1976,71
CLRCB,AK,1977,69
CLRCB,AK,1978,0
CLRCB,AK,1979,0
CLRCB,AK,1980,0
CLRCB,AK,1981,1342
CLRCB,AK,1982,1338
CLRCB,AK,1983,1173
CLRCB,AK,1984,1504
CLRCB,AK,1985,1519
CLRCB,AK,1986,1805
CLRCB,AK,1987,0
CLRCB,AK,1988,0
CLRCB,AK,1989,0
CLRCB,AK,1990,1560
CLRCB,AK,1991,1433
CLRCB,AK,1992,1463
CLRCB,AK,1993,1601
CLRCB,AK,1994,1231
CLRCB,AK,1995,1074
CLRCB,AK,1996,899
CLRCB,AK,1997,877
CLRCB,AK,1998,916
CLRCB,AK,1999,1034
CLRCB,AK,2000,898
CLRCB,AK,2001,812
CLRCB,AK,2002,881
CLRCB,AK,2003,909
CLRCB,AK,2004,776
CLRCB,AK,2005,631
CLRCB,AK,2006,783
CLRCB,AK,2007,739
CLRCB,AK,2008,0
CLRCB,AK,2009,0
CLRCB,AK,2010,0
CLRCB,AK,2011,0
CLRCB,AK,2012,0
CLRCB,AK,2013,0
CLRCB,AK,2014,0
CLRCB,AK,2015,0
CLRCB,AK,2016,0
CLRCB,AK,2017,0
CLRCB,AK,2018,0
CLRCB,AK,2019,0
CLRCB,AL,1960,4031
CLRCB,AL,1961,2777
CLRCB,AL,1962,4470
CLRCB,AL,1963,4520
CLRCB,AL,1964,2101
CLRCB,AL,1965,1393
CLRCB,AL,1966,1459
CLRCB,AL,1967,1270
CLRCB,AL,1968,1286
CLRCB,AL,1969,1740
CLRCB,AL,1970,1704
CLRCB,AL,1971,1238
CLRCB,AL,1972,1217
CLRCB,AL,1973,840
CLRCB,AL,1974,272
CLRCB,AL,1975,138
CLRCB,AL,1976,82
CLRCB,AL,1977,183
CLRCB,AL,1978,1002
CLRCB,AL,1979,736
CLRCB,AL,1980,1151
CLRCB,AL,1981,384
CLRCB,AL,1982,505
CLRCB,AL,1983,515
CLRCB,AL,1984,660
CLRCB,AL,1985,661
CLRCB,AL,1986,732
CLRCB,AL,1987,765
CLRCB,AL,1988,839
CLRCB,AL,1989,364
CLRCB,AL,1990,515
CLRCB,AL,1991,74
CLRCB,AL,1992,386
CLRCB,AL,1993,175
CLRCB,AL,1994,39
CLRCB,AL,1995,23
CLRCB,AL,1996,130
CLRCB,AL,1997,197
