MSN,state,Year,data
NGRCB,AK,1960,176

NGRCB,AK,1961,195

NGRCB,AK,1962,556

NGRCB,AK,1963,693

NGRCB,AK,1964,1055

NGRCB,AK,1965,1451

NGRCB,AK,1966,1794

NGRCB,AK,1967,1958

NGRCB,AK,1968,2304

NGRCB,AK,1969,4596

NGRCB,AK,1970,6242

NGRCB,AK,1971,6927

NGRCB,AK,1972,8434

NGRCB,AK,1973,5081

NGRCB,AK,1974,4182

NGRCB,AK,1975,10442

NGRCB,AK,1976,10968

NGRCB,AK,1977,11336

NGRCB,AK,1978,12151

NGRCB,AK,1979,7303

NGRCB,AK,1980,7935

NGRCB,AK,1981,7933

NGRCB,AK,1982,10545

NGRCB,AK,1983,10449

NGRCB,AK,1984,11850

NGRCB,AK,1985,13336

NGRCB,AK,1986,12207

NGRCB,AK,1987,12371

NGRCB,AK,1988,12576

NGRCB,AK,1989,13532

NGRCB,AK,1990,13398

NGRCB,AK,1991,13587

NGRCB,AK,1992,14379

NGRCB,AK,1993,13767

NGRCB,AK,1994,14910

NGRCB,AK,1995,15325

NGRCB,AK,1996,16003

NGRCB,AK,1997,15143

NGRCB,AK,1998,15597

NGRCB,AK,1999,17631

NGRCB,AK,2000,16418

NGRCB,AK,2001,16995

NGRCB,AK,2002,16248

NGRCB,AK,2003,16920

NGRCB,AK,2004,18268

NGRCB,AK,2005,18098

NGRCB,AK,2006,20715

NGRCB,AK,2007,19961

NGRCB,AK,2008,21568

NGRCB,AK,2009,20075

NGRCB,AK,2010,18806

NGRCB,AK,2011,20521

NGRCB,AK,2012,21634

NGRCB,AK,2013,19233

NGRCB,AK,2014,17751

NGRCB,AK,2015,18593

NGRCB,AK,2016,17806

NGRCB,AK,2017,20000

NGRCB,AK,2018,18108

NGRCB,AK,2019,17698

NGRCB,AL,1960,42265

NGRCB,AL,1961,39942

NGRCB,AL,1962,43659

NGRCB,AL,1963,48930

NGRCB,AL,1964,53251

NGRCB,AL,1965,49720

NGRCB,AL,1966,49258

NGRCB,AL,1967,46955

NGRCB,AL,1968,53414

NGRCB,AL,1969,56613

NGRCB,AL,1970,57508

NGRCB,AL,1971,56568

NGRCB,AL,1972,55052

NGRCB,AL,1973,57295

NGRCB,AL,1974,56647

NGRCB,AL,1975,53826

NGRCB,AL,1976,58451

NGRCB,AL,1977,58121

NGRCB,AL,1978,58646

NGRCB,AL,1979,53905

NGRCB,AL,1980,54087

NGRCB,AL,1981,51971

NGRCB,AL,1982,49372

NGRCB,AL,1983,50093

NGRCB,AL,1984,52186

NGRCB,AL,1985,45354

NGRCB,AL,1986,46269

NGRCB,AL,1987,50689

NGRCB,AL,1988,50326

NGRCB,AL,1989,49563

NGRCB,AL,1990,46728

NGRCB,AL,1991,47398

NGRCB,AL,1992,51038

NGRCB,AL,1993,52916

NGRCB,AL,1994,51252

NGRCB,AL,1995,51016

NGRCB,AL,1996,58395

NGRCB,AL,1997,50505

NGRCB,AL,1998,48384

NGRCB,AL,1999,44176

NGRCB,AL,2000,49529

NGRCB,AL,2001,50839

NGRCB,AL,2002,47846

NGRCB,AL,2003,47948

NGRCB,AL,2004,44958

NGRCB,AL,2005,43309

NGRCB,AL,2006,39180

NGRCB,AL,2007,36412

NGRCB,AL,2008,38656

NGRCB,AL,2009,37030

NGRCB,AL,2010,42872

NGRCB,AL,2011,37180

NGRCB,AL,2012,28022

NGRCB,AL,2013,35626

NGRCB,AL,2014,39842

NGRCB,AL,2015,33653

NGRCB,AL,2016,29155

NGRCB,AL,2017,27077

NGRCB,AL,2018,35669

NGRCB,AL,2019,31472

NGRCB,AR,1960,34424

NGRCB,AR,1961,34954

NGRCB,AR,1962,34898

NGRCB,AR,1963,37342

NGRCB,AR,1964,41420

NGRCB,AR,1965,36536

NGRCB,AR,1966,51900

NGRCB,AR,1967,52830

NGRCB,AR,1968,56346

NGRCB,AR,1969,58322

NGRCB,AR,1970,60031

NGRCB,AR,1971,48932

NGRCB,AR,1972,47394

NGRCB,AR,1973,48783

NGRCB,AR,1974,43982

NGRCB,AR,1975,48302

NGRCB,AR,1976,49146

NGRCB,AR,1977,50042

NGRCB,AR,1978,47899

NGRCB,AR,1979,50679

NGRCB,AR,1980,46561

NGRCB,AR,1981,42592

NGRCB,AR,1982,44689

NGRCB,AR,1983,43669

NGRCB,AR,1984,46768

NGRCB,AR,1985,40863

NGRCB,AR,1986,39044

NGRCB,AR,1987,40556

NGRCB,AR,1988,43155

NGRCB,AR,1989,42485

NGRCB,AR,1990,39486

NGRCB,AR,1991,41312

NGRCB,AR,1992,39743

NGRCB,AR,1993,46117

NGRCB,AR,1994,42431

NGRCB,AR,1995,44579

NGRCB,AR,1996,47509

NGRCB,AR,1997,43019

NGRCB,AR,1998,39139

NGRCB,AR,1999,36894

NGRCB,AR,2000,43159

NGRCB,AR,2001,37695

NGRCB,AR,2002,40085

NGRCB,AR,2003,39161

NGRCB,AR,2004,35078

NGRCB,AR,2005,33927

NGRCB,AR,2006,32467

NGRCB,AR,2007,33041

NGRCB,AR,2008,36028

NGRCB,AR,2009,33635

NGRCB,AR,2010,36509

NGRCB,AR,2011,34241

NGRCB,AR,2012,26454

NGRCB,AR,2013,35663

NGRCB,AR,2014,38558

NGRCB,AR,2015,33463

NGRCB,AR,2016,27469

NGRCB,AR,2017,26080

NGRCB,AR,2018,35466

NGRCB,AR,2019,34175

NGRCB,AZ,1960,28367

NGRCB,AZ,1961,25850

NGRCB,AZ,1962,22934

NGRCB,AZ,1963,25131

NGRCB,AZ,1964,30454

NGRCB,AZ,1965,27100

NGRCB,AZ,1966,26918

NGRCB,AZ,1967,27025

NGRCB,AZ,1968,28709

NGRCB,AZ,1969,30586

NGRCB,AZ,1970,31430

NGRCB,AZ,1971,34544

NGRCB,AZ,1972,36085

NGRCB,AZ,1973,38168

NGRCB,AZ,1974,34343

NGRCB,AZ,1975,39811

NGRCB,AZ,1976,42228

NGRCB,AZ,1977,40348

NGRCB,AZ,1978,32073

NGRCB,AZ,1979,30735

NGRCB,AZ,1980,30863

NGRCB,AZ,1981,27741

NGRCB,AZ,1982,31066

NGRCB,AZ,1983,30589

NGRCB,AZ,1984,28874

